ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
171169,SPACA4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171177,RHOV,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171389,NLRP6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171392,ZNF675,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171425,CLYBL,2,1,0,1,0,1,1,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
171482,FAM9A,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171483,FAM9B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171484,FAM9C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171546,SPTSSA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171558,PTCRA,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171568,POLR3H,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171586,ABHD3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191585,PLAC4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192111,PGAM5,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192134,B3GNT6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192286,HIGD2A,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192666,KRT24,0,1,0,0,0,1,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
192668,CYS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192669,AGO3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192670,AGO4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192683,SCAMP5,0,1,1,1,0,1,1,0,0,0,0,0,0.036,0,0,0,0,0.2,0,0.043044444,0
195814,SDR16C5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195827,AAED1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195828,ZNF367,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195977,ANTXRL,0,0,0,0,0,1,1,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,0
196051,PPAPDC1A,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196074,METTL15,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196264,MPZL3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
196294,IMMP1L,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
196335,OR56B4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196374,KRT78,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196383,RILPL2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196385,DNAH10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196394,AMN1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196403,DTX3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196410,METTL7B,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
