ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
6051,ENSG00000176393,RNPEP,1,1,1,1,0,1,0,0,0,0,0,0,0.0241497664399093,0,0,0,0,0,0,0,0
6059,ENSG00000164163,ABCE1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
6091,ENSG00000169855,ROBO1,2,1,2,1,1,1,1,0,0,0.026,0,0,0,0,0,0,0,0,0,0.0193333333333333,0
6092,ENSG00000185008,ROBO2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0521,0
6093,ENSG00000067900,ROCK1,2,1,2,1,1,1,1,0,0,0,0,0,0.0332111111111111,0,0,0,0,0,0,0.0186,0
6094,ENSG00000149489,ROM1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095,ENSG00000069667,RORA,2,1,2,0,1,1,1,0,0,0,0,0,0.0545462108843537,0,0.0523170997732427,0,0,0,0,0.0970977565836148,0
6096,ENSG00000198963,RORB,2,2,2,1,1,1,1,0,0,0.004,0,0,0.0188,0,0.126509560090703,0,0,0,0,0.0152,0
6097,ENSG00000143365,RORC,1,2,2,0,1,1,1,0,0,0.0408,0,0,0,0,0,0,0,0,0,0.028,0
6098,ENSG00000047936,ROS1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6100,ENSG00000164610,RP9,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,ENSG00000104237,RP1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6102,ENSG00000102218,RP2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0152,0,0,0,0
6103,ENSG00000156313,RPGR,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,ENSG00000132383,RPA1,2,1,1,0,1,1,1,0,0,0.0148,0,0,0,0,0,0,0,0,0,0,0
6118,ENSG00000117748,RPA2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6119,ENSG00000106399,RPA3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
